UniProt ID,Gene,Protein name,
Q8IVE3,PLEKHH2,Pleckstrin homology domain-containing family H member 2,
Q8IVF2,AHNAK2,Protein AHNAK2,
Q8IVF4,DNAH10,Dynein axonemal heavy chain 10,
Q8IVF7,FMNL3,Formin-like protein 3,
Q8IVG5,SAMD9L,Sterile alpha motif domain-containing protein 9-like,
Q8IVH2,FOXP4,Forkhead box protein P4,
Q8IVL1,NAV2,Neuron navigator 2,
Q8IVL6,P3H3,Prolyl 3-hydroxylase 3,
Q8IVM0,CCDC50,Coiled-coil domain-containing protein 50,
Q8IVN8,SBSPON,Somatomedin-B and thrombospondin type-1 domain-containing protein,
Q8IVS2,MCAT,Malonyl-CoA-acyl carrier protein transacylase,
Q8IVT2,MISP,Mitotic interactor and substrate of PLK1,
Q8IVU1,IGDCC3,Immunoglobulin superfamily DCC subclass member 3,
Q8IVW4,CDKL3,Cyclin-dependent kinase-like 3,
Q8IW00,VSTM4,V-set and transmembrane domain-containing protein 4,
Q8IW19,APLF,Aprataxin and PNK-like factor,
Q8IW35,CEP97,Centrosomal protein of 97 kDa,
Q8IW75,SERPINA12,Serpin A12,
Q8IW93,ARHGEF19,Rho guanine nucleotide exchange factor 19,
Q8IWB1,ITPRIP,Inositol 1,
Q8IWD4,CCDC117,Coiled-coil domain-containing protein 117,
Q8IWE2,FAM114A1,Protein NOXP20,
Q8IWI9,MGA,MAX gene-associated protein,
Q8IWL1,SFTPA2,Pulmonary surfactant-associated protein A2,
Q8IWP9,CCDC28A,Coiled-coil domain-containing protein 28A,
Q8IWQ3,BRSK2,Serine/threonine-protein kinase BRSK2,
Q8IWT1,SCN4B,Sodium channel subunit beta-4,
Q8IWU5,SULF2,Extracellular sulfatase Sulf-2,
Q8IWV2,CNTN4,Contactin-4,
Q8IWV7,UBR1,E3 ubiquitin-protein ligase UBR1,
Q8IWV8,UBR2,E3 ubiquitin-protein ligase UBR2,
Q8IWW6,ARHGAP12,Rho GTPase-activating protein 12,
Q8IWY9,CDAN1,Codanin-1,
Q8IWZ8,SUGP1,SURP and G-patch domain-containing protein 1,
Q8IX03,WWC1,Protein KIBRA,
Q8IX05,CD302,CD302 antigen,
Q8IX12,CCAR1,Cell division cycle and apoptosis regulator protein 1,
Q8IX19,MCEMP1,Mast cell-expressed membrane protein 1,
Q8IX29,FBXO16,F-box only protein 16,
Q8IX30,SCUBE3,Signal peptide,
Q8IX95,CTAGE3P,Putative cTAGE family member 3,
Q8IXB1,DNAJC10,DnaJ homolog subfamily C member 10,
Q8IXH6,TP53INP2,Tumor protein p53-inducible nuclear protein 2,
Q8IXH7,NELFCD,Negative elongation factor C/D,
Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2,
Q8IXK0,PHC2,Polyhomeotic-like protein 2,
Q8IXM2,BAP18,Chromatin complexes subunit BAP18,
Q8IXQ3,C9orf40,Uncharacterized protein C9orf40,
Q8IXR9,C12orf56,Uncharacterized protein C12orf56,
Q8IXS2,CCDC65,Dynein regulatory complex subunit 2,
Q8IXT1,DDIAS,DNA damage-induced apoptosis suppressor protein,
Q8IXW0,LMNTD2,Lamin tail domain-containing protein 2,
Q8IXW5,RPAP2,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2,
Q8IY18,SMC5,Structural maintenance of chromosomes protein 5,
Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60,
Q8IY22,CMIP,C-Maf-inducing protein,
Q8IY31,IFT20,Intraflagellar transport protein 20 homolog,
Q8IY33,MICALL2,MICAL-like protein 2,
Q8IY37,DHX37,Probable ATP-dependent RNA helicase DHX37,
Q8IY85,EFCAB13,EF-hand calcium-binding domain-containing protein 13,
Q8IYA2,CCDC144CP,Putative coiled-coil domain-containing protein 144C,
Q8IYA6,CKAP2L,Cytoskeleton-associated protein 2-like,
Q8IYA8,IHO1,Interactor of HORMAD1 protein 1,
Q8IYB0,,Putative uncharacterized protein MGC39545,
Q8IYB5,SMAP1,Stromal membrane-associated protein 1,
Q8IYB7,DIS3L2,DIS3-like exonuclease 2,
Q8IYE1,CCDC13,Coiled-coil domain-containing protein 13,
Q8IYF3,TEX11,Testis-expressed protein 11,
Q8IYJ2,C10orf67,Uncharacterized protein C10orf67,
Q8IYJ3,SYTL1,Synaptotagmin-like protein 1,
Q8IYK8,REM2,GTP-binding protein REM 2,
Q8IYM0,FAM186B,Protein FAM186B,
Q8IYS2,KIAA2013,Uncharacterized protein KIAA2013,
Q8IYS4,DNAAF8,Dynein axonemal assembly factor 8,
Q8IYS5,OSCAR,Osteoclast-associated immunoglobulin-like receptor,
Q8IYT3,CCDC170,Coiled-coil domain-containing protein 170,
Q8IYT8,ULK2,Serine/threonine-protein kinase ULK2,
Q8IYU4,UBQLNL,Ubiquilin-like protein,
Q8IYV9,IZUMO1,Izumo sperm-egg fusion protein 1,
Q8IYW2,CFAP46,Cilia- and flagella-associated protein 46,
Q8IYW4,ENTHD1,ENTH domain-containing protein 1,
Q8IYW5,RNF168,E3 ubiquitin-protein ligase RNF168,
Q8IYX8,CEP57L1,Centrosomal protein CEP57L1,
Q8IYY4,DZIP1L,Cilium assembly protein DZIP1L,
Q8IZ08,GPR135,G-protein coupled receptor 135,
Q8IZ41,RASEF,Ras and EF-hand domain-containing protein,
Q8IZA0,KIAA0319L,Dyslexia-associated protein KIAA0319-like protein,
Q8IZC4,RTKN2,Rhotekin-2,
Q8IZD0,SAMD14,Sterile alpha motif domain-containing protein 14,
Q8IZD2,KMT2E,Inactive histone-lysine N-methyltransferase 2E,
Q8IZD4,DCP1B,mRNA-decapping enzyme 1B,
Q8IZF2,ADGRF5,Adhesion G protein-coupled receptor F5,
Q8IZF3,ADGRF4,Adhesion G protein-coupled receptor F4,
Q8IZF7,ADGRF2P,Putative adhesion G protein-coupled receptor F2P,
Q8IZH2,XRN1,5'-3' exoribonuclease 1,
Q8IZJ0,IFNL2,Interferon lambda-2,
Q8IZP9,ADGRG2,Adhesion G-protein coupled receptor G2,
Q8IZQ5,SELENOH,Selenoprotein H,
Q8IZU3,SYCP3,Synaptonemal complex protein 3,
Q8IZU9,KIRREL3,Kin of IRRE-like protein 3,
Q8IZW8,TNS4,Tensin-4,
Q8N0V3,RBFA,Putative ribosome-binding factor A,
Q8N0X2,SPAG16,Sperm-associated antigen 16 protein,
Q8N0X4,CLYBL,Citramalyl-CoA lyase,
Q8N0X7,SPART,Spartin,
Q8N0Z2,ABRA,Actin-binding Rho-activating protein,
Q8N0Z6,TTC5,Tetratricopeptide repeat protein 5,
Q8N0Z9,VSIG10,V-set and immunoglobulin domain-containing protein 10,
Q8N111,CEND1,Cell cycle exit and neuronal differentiation protein 1,
Q8N114,SHISA5,Protein shisa-5,
Q8N129,CNPY4,Protein canopy homolog 4,
Q8N130,SLC34A3,Sodium-dependent phosphate transport protein 2C,
Q8N149,LILRA2,Leukocyte immunoglobulin-like receptor subfamily A member 2,
Q8N157,AHI1,Jouberin,
Q8N158,GPC2,Glypican-2,
Q8N163,CCAR2,Cell cycle and apoptosis regulator protein 2,
Q8N183,NDUFAF2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,
Q8N1F8,STK11IP,Serine/threonine-protein kinase 11-interacting protein,
Q8N1G0,ZNF687,Zinc finger protein 687,
Q8N1N4,KRT78,Keratin,
Q8N1Q1,CA13,Carbonic anhydrase 13,
Q8N1W1,ARHGEF28,Rho guanine nucleotide exchange factor 28,
Q8N264,ARHGAP24,Rho GTPase-activating protein 24,
Q8N283,ANKRD35,Ankyrin repeat domain-containing protein 35,
Q8N2G4,LYPD1,Ly6/PLAUR domain-containing protein 1,
Q8N2N9,ANKRD36B,Ankyrin repeat domain-containing protein 36B,
Q8N2Q7,NLGN1,Neuroligin-1,
Q8N2Z9,CENPS,Centromere protein S,
Q8N307,MUC20,Mucin-20,
Q8N309,LRRC43,Leucine-rich repeat-containing protein 43,
Q8N365,CIART,Circadian-associated transcriptional repressor,
Q8N386,LRRC25,Leucine-rich repeat-containing protein 25,
Q8N398,VWA5B2,von Willebrand factor A domain-containing protein 5B2,
Q8N3A8,PARP8,Protein mono-ADP-ribosyltransferase PARP8,
Q8N3K9,CMYA5,Cardiomyopathy-associated protein 5,
Q8N3L3,TXLNB,Beta-taxilin,
Q8N3X1,FNBP4,Formin-binding protein 4,
Q8N3X6,LCORL,Ligand-dependent nuclear receptor corepressor-like protein,
Q8N3Y7,SDR16C5,Epidermal retinol dehydrogenase 2,
Q8N436,CPXM2,Inactive carboxypeptidase-like protein X2,
Q8N442,GUF1,Translation factor GUF1,
Q8N443,RIBC1,RIB43A-like with coiled-coils protein 1,
Q8N474,SFRP1,Secreted frizzled-related protein 1,
Q8N488,RYBP,RING1 and YY1-binding protein,
Q8N4B5,PRR18,Proline-rich protein 18,
Q8N4C8,MINK1,Misshapen-like kinase 1,
Q8N4E4,PDCL2,Phosducin-like protein 2,
Q8N4F0,BPIFB2,BPI fold-containing family B member 2,
Q8N4H0,SPATA6L,Spermatogenesis associated 6-like protein,
Q8N4L8,CCDC24,Coiled-coil domain-containing protein 24,
Q8N4N8,KIF2B,Kinesin-like protein KIF2B,
Q8N4P3,HDDC3,Guanosine-3',
Q8N4P6,LRRC71,Leucine-rich repeat-containing protein 71,
Q8N4X5,AFAP1L2,Actin filament-associated protein 1-like 2,
Q8N4Y2,CRACR2B,EF-hand calcium-binding domain-containing protein 4A,
Q8N535,LINC00471,Putative uncharacterized protein encoded by LINC00471,
Q8N556,AFAP1,Actin filament-associated protein 1,
Q8N565,MREG,Melanoregulin,
Q8N568,DCLK2,Serine/threonine-protein kinase DCLK2,
Q8N5C6,SRBD1,S1 RNA-binding domain-containing protein 1,
Q8N5H7,SH2D3C,SH2 domain-containing protein 3C,
Q8N5I3,KCNRG,Potassium channel regulatory protein,
Q8N5J2,MINDY1,Ubiquitin carboxyl-terminal hydrolase MINDY-1,
Q8N5K1,CISD2,CDGSH iron-sulfur domain-containing protein 2,
Q8N5Q1,GARIN5B,Golgi-associated RAB2 interactor protein 5B,
Q8N5R6,CCDC33,Coiled-coil domain-containing protein 33,
Q8N5S3,C2orf73,Uncharacterized protein C2orf73,
Q8N5S9,CAMKK1,Calcium/calmodulin-dependent protein kinase kinase 1,
Q8N5U6,RNF10,E3 ubiquitin-protein ligase RNF10,
Q8N608,DPP10,Inactive dipeptidyl peptidase 10,
Q8N612,FHIP1B,FHF complex subunit HOOK-interacting protein 1B,
Q8N668,COMMD1,COMM domain-containing protein 1,
Q8N6C8,LILRA3,Leukocyte immunoglobulin-like receptor subfamily A member 3,
Q8N6F7,GCSAM,Germinal center-associated signaling and motility protein,
Q8N6M0,OTUD6B,Deubiquitinase OTUD6B,
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7,
Q8N6P7,IL22RA1,Interleukin-22 receptor subunit alpha-1,
Q8N6Q1,TMCO5A,Transmembrane and coiled-coil domain-containing protein 5A,
Q8N6Q3,CD177,CD177 antigen,
Q8N6Q8,METTL25,Probable methyltransferase-like protein 25,
Q8N6T0,TOP6BL,Type 2 DNA topoisomerase 6 subunit B-like,
Q8N6T7,SIRT6,NAD-dependent protein deacylase sirtuin-6,
Q8N6V9,TEX9,Testis-expressed protein 9,
Q8N6W0,CELF5,CUGBP Elav-like family member 5,
Q8N6Y0,USHBP1,Harmonin-binding protein USHBP1,
Q8N743,KIR3DL3,Killer cell immunoglobulin-like receptor 3DL3,
Q8N769,C14orf178,Uncharacterized protein C14orf178,
Q8N7B6,PACRGL,PACRG-like protein,
Q8N7E2,CBLL2,E3 ubiquitin-protein ligase CBLL2,
Q8N7F7,UBL4B,Ubiquitin-like protein 4B,
Q8N7P7,,Uncharacterized protein FLJ40521,
Q8N7U9,LINC00469,Putative uncharacterized protein encoded by LINC00469,
Q8N7W2,BEND7,BEN domain-containing protein 7,
Q8N7X0,ADGB,Androglobin,
Q8N806,UBR7,Putative E3 ubiquitin-protein ligase UBR7,
Q8N841,TTLL6,Tubulin polyglutamylase TTLL6,
Q8N865,SPMIP4,Sperm-associated microtubule inner protein 4,
Q8N878,FRMD1,FERM domain-containing protein 1,
Q8N8E1,MAPKAPK5-AS1,Putative uncharacterized protein encoded by MAPKAPK5-AS1,
Q8N8E3,CEP112,Centrosomal protein of 112 kDa,
Q8N8I0,SAMD12,Sterile alpha motif domain-containing protein 12,
Q8N8K9,KIAA1958,Uncharacterized protein KIAA1958,
Q8N8R5,C2orf69,Mitochondrial protein C2orf69,
Q8N8R7,ARL14EP,ARL14 effector protein,
Q8N8S7,ENAH,Protein enabled homolog,
Q8N8U9,BMPER,BMP-binding endothelial regulator protein,
Q8N8W4,PNPLA1,Omega-hydroxyceramide transacylase,
Q8N8Y2,ATP6V0D2,V-type proton ATPase subunit d 2,
Q8N954,GPATCH11,G patch domain-containing protein 11,
Q8N960,CEP120,Centrosomal protein of 120 kDa,
Q8N967,LRTM2,Leucine-rich repeat and transmembrane domain-containing protein 2,
Q8N987,NECAB1,N-terminal EF-hand calcium-binding protein 1,
Q8N998,CCDC89,Coiled-coil domain-containing protein 89,
Q8N9C0,IGSF22,Immunoglobulin superfamily member 22,
Q8N9F7,GDPD1,Lysophospholipase D GDPD1,
Q8N9I9,DTX3,Probable E3 ubiquitin-protein ligase DTX3,
Q8N9N2,ASCC1,Activating signal cointegrator 1 complex subunit 1,
Q8N9N5,BANP,Protein BANP,
Q8N9T8,KRI1,Protein KRI1 homolog,
Q8N9V6,ANKRD53,Ankyrin repeat domain-containing protein 53,
Q8N9W8,GARIN2,Golgi-associated RAB2 interactor protein 2,
Q8N9X3,LINC01356,Putative uncharacterized protein encoded by LINC01356,
Q8NA03,FSIP1,Fibrous sheath-interacting protein 1,
Q8NA19,L3MBTL4,Lethal(3)malignant brain tumor-like protein 4,
Q8NA47,CCDC63,Coiled-coil domain-containing protein 63,
Q8NA54,IQUB,IQ motif and ubiquitin-like domain-containing protein,
Q8NA61,CBY2,Protein chibby homolog 2,
Q8NA66,CNBD1,Cyclic nucleotide-binding domain-containing protein 1,
Q8NA70,FAM47B,Protein FAM47B,
Q8NAA5,LRRC75A,Leucine-rich repeat-containing protein 75A,
Q8NAV2,C8orf58,Uncharacterized protein C8orf58,
Q8NAX2,KDF1,Keratinocyte differentiation factor 1,
Q8NB25,FAM184A,Protein FAM184A,
Q8NB46,ANKRD52,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C,
Q8NB90,AFG2A,ATPase family gene 2 protein homolog A,
Q8NBI3,DRAXIN,Draxin,
Q8NBJ4,GOLM1,Golgi membrane protein 1,
Q8NBJ7,SUMF2,Inactive C-alpha-formylglycine-generating enzyme 2,
Q8NBK3,SUMF1,Formylglycine-generating enzyme,
Q8NBL1,POGLUT1,Protein O-glucosyltransferase 1,
Q8NBP7,PCSK9,Proprotein convertase subtilisin/kexin type 9,
Q8NBR6,MINDY2,Ubiquitin carboxyl-terminal hydrolase MINDY-2,
Q8NBS9,TXNDC5,Thioredoxin domain-containing protein 5,
Q8NBZ9,NEXN-AS1,Putative uncharacterized protein NEXN-AS1,
Q8NC01,CLEC1A,C-type lectin domain family 1 member A,
Q8NC42,RNF149,E3 ubiquitin-protein ligase RNF149,
Q8NC67,NETO2,Neuropilin and tolloid-like protein 2,
Q8NCC3,PLA2G15,Phospholipase A2 group XV,
Q8NCG5,CHST4,Carbohydrate sulfotransferase 4,
Q8NCM8,DYNC2H1,Cytoplasmic dynein 2 heavy chain 1,
Q8NCN4,RNF169,E3 ubiquitin-protein ligase RNF169,
Q8NCP5,ZBTB44,Zinc finger and BTB domain-containing protein 44,
Q8NCU1,CCDC197,Uncharacterized protein CCDC197,
Q8NCX0,CCDC150,Coiled-coil domain-containing protein 150,
Q8ND07,BBOF1,Basal body-orientation factor 1,
Q8ND24,RNF214,RING finger protein 214,
Q8ND30,PPFIBP2,Liprin-beta-2,
Q8ND71,GIMAP8,GTPase IMAP family member 8,
Q8ND90,PNMA1,Paraneoplastic antigen Ma1,
Q8NDA2,HMCN2,Hemicentin-2,
Q8NDB2,BANK1,B-cell scaffold protein with ankyrin repeats,
Q8NDC4,MORN4,MORN repeat-containing protein 4,
Q8NDD1,C1orf131,Uncharacterized protein C1orf131,
Q8NDF8,TENT4B,Terminal nucleotidyltransferase 4B,
Q8NDH2,CCDC168,Leucine-rich repeat transmembrane protein CCDC168,
Q8NDH6,ICA1L,Islet cell autoantigen 1-like protein,
Q8NDI1,EHBP1,EH domain-binding protein 1,
Q8NDM7,CFAP43,Cilia- and flagella-associated protein 43,
Q8NDW8,TTC21A,Tetratricopeptide repeat protein 21A,
Q8NDZ0,BEND2,BEN domain-containing protein 2,
Q8NDZ2,SIMC1,SUMO-interacting motif-containing protein 1,
Q8NE09,RGS22,Regulator of G-protein signaling 22,
Q8NE31,FAM13C,Protein FAM13C,
Q8NE63,HIPK4,Homeodomain-interacting protein kinase 4,
Q8NEB7,ACRBP,Acrosin-binding protein,
Q8NEE8,TTC16,Tetratricopeptide repeat protein 16,
Q8NEF9,SRFBP1,Serum response factor-binding protein 1,
Q8NEG4,FAM83F,Protein FAM83F,
Q8NEJ9,NGDN,Neuroguidin,
Q8NEM7,SUPT20H,Transcription factor SPT20 homolog,
Q8NEM8,AGBL3,Cytosolic carboxypeptidase 3,
Q8NER1,TRPV1,Transient receptor potential cation channel subfamily V member 1,
Q8NET5,NFAM1,NFAT activation molecule 1,
Q8NET8,TRPV3,Transient receptor potential cation channel subfamily V member 3,
Q8NEU8,APPL2,DCC-interacting protein 13-beta,
Q8NEV8,EXPH5,Exophilin-5,
Q8NEY4,ATP6V1C2,V-type proton ATPase subunit C 2,
Q8NEZ2,VPS37A,Vacuolar protein sorting-associated protein 37A,
Q8NEZ4,KMT2C,Histone-lysine N-methyltransferase 2C,
Q8NEZ5,FBXO22,F-box only protein 22,
Q8NF67,ANKRD20A12P,Putative ankyrin repeat domain-containing protein 20A12 pseudogene,
Q8NF99,ZNF397,Zinc finger protein 397,
Q8NFC6,BOD1L1,Biorientation of chromosomes in cell division protein 1-like 1,
Q8NFF5,FLAD1,FAD synthase,
Q8NFG4,FLCN,Folliculin,
Q8NFH8,REPS2,RalBP1-associated Eps domain-containing protein 2,
Q8NFI4,ST13P5,Putative protein FAM10A5,
Q8NFL0,B3GNT7,UDP-GlcNAc:betaGal beta-1,
Q8NFP4,MDGA1,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,
Q8NFP7,NUDT10,Diphosphoinositol polyphosphate phosphohydrolase 3-alpha,
Q8NFP9,NBEA,Neurobeachin,
Q8NFR7,CCDC148,Coiled-coil domain-containing protein 148,
Q8NFR9,IL17RE,Interleukin-17 receptor E,
Q8NFT8,DNER,Delta and Notch-like epidermal growth factor-related receptor,
Q8NFU5,IPMK,Inositol polyphosphate multikinase,
Q8NFY4,SEMA6D,Semaphorin-6D,
Q8NFZ4,NLGN2,Neuroligin-2,
Q8NG06,TRIM58,E3 ubiquitin-protein ligase TRIM58,
Q8NG08,HELB,DNA helicase B,
Q8NG27,PJA1,E3 ubiquitin-protein ligase Praja-1,
Q8NHJ6,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,
Q8NHP1,AKR7L,Aflatoxin B1 aldehyde reductase member 4,
Q8NHQ9,DDX55,ATP-dependent RNA helicase DDX55,
Q8NHS0,DNAJB8,DnaJ homolog subfamily B member 8,
Q8NHS4,CLHC1,Clathrin heavy chain linker domain-containing protein 1,
Q8NHU2,CFAP61,Cilia- and flagella-associated protein 61,
Q8NHV1,GIMAP7,GTPase IMAP family member 7,
Q8NHV4,NEDD1,Protein NEDD1,
Q8NHX4,SPATA3,Spermatogenesis-associated protein 3,
Q8NHZ8,CDC26,Anaphase-promoting complex subunit CDC26,
Q8NI08,NCOA7,Nuclear receptor coactivator 7,
Q8NI17,IL31RA,Interleukin-31 receptor subunit alpha,
Q8NI22,MCFD2,Multiple coagulation factor deficiency protein 2,
Q8NI35,PATJ,InaD-like protein,
Q8NI77,KIF18A,Kinesin-like protein KIF18A,
Q8TAD2,IL17D,Interleukin-17D,
Q8TAE8,GADD45GIP1,Large ribosomal subunit protein mL64,
Q8TAL5,C9orf43,Uncharacterized protein C9orf43,
Q8TAP8,PPP1R35,Protein phosphatase 1 regulatory subunit 35,
Q8TAT2,FGFBP3,Fibroblast growth factor-binding protein 3,
Q8TAX7,MUC7,Mucin-7,
Q8TBB5,KLHDC4,Kelch domain-containing protein 4,
Q8TBF2,PRXL2B,Prostamide/prostaglandin F synthase,
Q8TBM8,DNAJB14,DnaJ homolog subfamily B member 14,
Q8TBN0,RAB3IL1,Guanine nucleotide exchange factor for Rab-3A,
Q8TBY8,PMFBP1,Polyamine-modulated factor 1-binding protein 1,
Q8TBY9,CFAP251,Cilia- and flagella-associated protein 251,
Q8TBZ2,MYCBPAP,MYCBP-associated protein,
Q8TBZ3,WDR20,WD repeat-containing protein 20,
Q8TC05,MDM1,Nuclear protein MDM1,
Q8TC20,CAGE1,Cancer-associated gene 1 protein,
Q8TC44,POC1B,POC1 centriolar protein homolog B,
Q8TC71,SPATA18,Mitochondria-eating protein,
Q8TC84,FANK1,Fibronectin type 3 and ankyrin repeat domains protein 1,
Q8TCB7,METTL6,tRNA N(3)-methylcytidine methyltransferase METTL6,
Q8TCS8,PNPT1,Polyribonucleotide nucleotidyltransferase 1,
Q8TCT0,CERK,Ceramide kinase,
Q8TCT1,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase,
Q8TCU4,ALMS1,Centrosome-associated protein ALMS1,
Q8TCX1,DYNC2LI1,Cytoplasmic dynein 2 light intermediate chain 1,
Q8TCX5,RHPN1,Rhophilin-1,
Q8TCY5,MRAP,Melanocortin-2 receptor accessory protein,
Q8TCZ2,CD99L2,CD99 antigen-like protein 2,
Q8TD06,AGR3,Anterior gradient protein 3,
Q8TD16,BICD2,Protein bicaudal D homolog 2,
Q8TD26,CHD6,Chromodomain-helicase-DNA-binding protein 6,
Q8TD31,CCHCR1,Coiled-coil alpha-helical rod protein 1,
Q8TD46,CD200R1,Cell surface glycoprotein CD200 receptor 1,
Q8TD86,CALML6,Calmodulin-like protein 6,
Q8TDB6,DTX3L,E3 ubiquitin-protein ligase DTX3L,
Q8TDD2,SP7,Transcription factor Sp7,
Q8TDH9,BLOC1S5,Biogenesis of lysosome-related organelles complex 1 subunit 5,
Q8TDL5,BPIFB1,BPI fold-containing family B member 1,
Q8TDQ0,HAVCR2,Hepatitis A virus cellular receptor 2,
Q8TDQ1,CD300LF,CMRF35-like molecule 1,
Q8TDQ7,GNPDA2,Glucosamine-6-phosphate isomerase 2,
Q8TDR0,TRAF3IP1,TRAF3-interacting protein 1,
Q8TDR2,STK35,Serine/threonine-protein kinase 35,
Q8TDX7,NEK7,Serine/threonine-protein kinase Nek7,
Q8TDY4,ASAP3,Arf-GAP with SH3 domain,
Q8TDY8,IGDCC4,Immunoglobulin superfamily DCC subclass member 4,
Q8TDZ2,MICAL1,[F-actin]-monooxygenase MICAL1,
Q8TE58,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,
Q8TE73,DNAH5,Dynein axonemal heavy chain 5,
Q8TE77,SSH3,Protein phosphatase Slingshot homolog 3,
Q8TEA7,TBCK,TBC domain-containing protein kinase-like protein,
Q8TEA8,DTD1,D-aminoacyl-tRNA deacylase 1,
Q8TED9,AFAP1L1,Actin filament-associated protein 1-like 1,
Q8TEL6,TRPC4AP,Short transient receptor potential channel 4-associated protein,
Q8TEQ0,SNX29,Sorting nexin-29,
Q8TER0,SNED1,Sushi,
Q8TER5,ARHGEF40,Rho guanine nucleotide exchange factor 40,
Q8TET4,GANC,Neutral alpha-glucosidase C,
Q8TEU7,RAPGEF6,Rap guanine nucleotide exchange factor 6,
Q8TEU8,WFIKKN2,WAP, Kunitz and NTR domain-containing protein 2
Q8TEW0,PARD3,Partitioning defective 3 homolog,
Q8TEW8,PARD3B,Partitioning defective 3 homolog B,
Q8TEY7,USP33,Ubiquitin carboxyl-terminal hydrolase 33,
Q8TF30,WHAMM,WASP homolog-associated protein with actin,
Q8TF44,C2CD4C,C2 calcium-dependent domain-containing protein 4C,
Q8TF46,DIS3L,DIS3-like exonuclease 1,
Q8TF47,ZFP90,Zinc finger protein 90 homolog,
Q8TF64,GIPC3,PDZ domain-containing protein GIPC3,
Q8TF65,GIPC2,PDZ domain-containing protein GIPC2,
Q8TF72,SHROOM3,Protein Shroom3,
Q8WTQ1,DEFB104A,,
Q8WTQ4,C16orf78,Uncharacterized protein C16orf78,
Q8WTR2,DUSP19,Dual specificity protein phosphatase 19,
Q8WTS1,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,
Q8WTS6,SETD7,Histone-lysine N-methyltransferase SETD7,
Q8WTT0,CLEC4C,C-type lectin domain family 4 member C,
Q8WTU0,DDI1,Protein DDI1 homolog 1,
Q8WTU2,SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein,
Q8WTV0,SCARB1,Scavenger receptor class B member 1,
Q8WTV1,THAP3,THAP domain-containing protein 3,
Q8WU39,MZB1,Marginal zone B- and B1-cell-specific protein,
Q8WU58,FAM222B,Protein FAM222B,
Q8WU90,ZC3H15,Zinc finger CCCH domain-containing protein 15,
Q8WUA4,GTF3C2,General transcription factor 3C polypeptide 2,
Q8WUD1,RAB2B,Ras-related protein Rab-2B,
Q8WUF8,ARB2A,Cotranscriptional regulator ARB2A,
Q8WUK0,PTPMT1,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,
Q8WUN7,UBTD2,Ubiquitin domain-containing protein 2,
Q8WUQ7,CACTIN,Splicing factor Cactin,
Q8WUW1,BRK1,Protein BRICK1,
Q8WUX2,CHAC2,Glutathione-specific gamma-glutamylcyclotransferase 2,
Q8WUY3,PRUNE2,Protein prune homolog 2,
Q8WUZ0,BCL7C,B-cell CLL/lymphoma 7 protein family member C,
Q8WV07,LTO1,Protein LTO1 homolog,
Q8WV28,BLNK,B-cell linker protein,
Q8WV41,SNX33,Sorting nexin-33,
Q8WV44,TRIM41,E3 ubiquitin-protein ligase TRIM41,
Q8WV92,MITD1,MIT domain-containing protein 1,
Q8WV99,ZFAND2B,AN1-type zinc finger protein 2B,
Q8WVC0,LEO1,RNA polymerase-associated protein LEO1,
Q8WVD5,RNF141,RING finger protein 141,
Q8WVF2,UCMA,Unique cartilage matrix-associated protein,
Q8WVH0,CPLX3,Complexin-3,
Q8WVI7,PPP1R1C,Protein phosphatase 1 regulatory subunit 1C,
Q8WVM7,STAG1,Cohesin subunit SA-1,
Q8WVQ1,CANT1,Soluble calcium-activated nucleotidase 1,
Q8WVS4,DYNC2I1,Cytoplasmic dynein 2 intermediate chain 1,
Q8WVV4,POF1B,Protein POF1B,
Q8WVZ9,KBTBD7,Kelch repeat and BTB domain-containing protein 7,
Q8WW18,C17orf50,Uncharacterized protein C17orf50,
Q8WW22,DNAJA4,DnaJ homolog subfamily A member 4,
Q8WW24,TEKT4,Tektin-4,
Q8WWF5,ZNRF4,E3 ubiquitin-protein ligase ZNRF4,
Q8WWF6,DNAJB3,DnaJ homolog subfamily B member 3,
Q8WWF8,CAPSL,Calcyphosin-like protein,
Q8WWH4,ASZ1,Ankyrin repeat,
Q8WWL2,SPIRE2,Protein spire homolog 2,
